epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.13817,0.80789,0.59202,0.77651,0.92032,0.86171,0.90684,0.61299,1.11628,0.68544,0.79977,8.75e-05,8.75e-05,8.75e-05
2,9.06145,0.77928,0.57571,0.74716,0.89653,0.87383,0.91031,0.61372,1.1537,0.69116,0.82879,0.000185645,0.000185645,0.000185645
3,11.5547,0.8812,0.65298,0.77926,0.94861,0.83248,0.89794,0.58542,1.17539,0.74659,0.83609,0.000281812,0.000281812,0.000281812
4,14.0272,0.88342,0.62833,0.76442,0.98136,0.82409,0.89175,0.58883,1.16108,0.72684,0.82936,0.000376001,0.000376001,0.000376001
5,16.4651,0.83534,0.61117,0.76276,0.95863,0.84366,0.89522,0.60117,1.15591,0.71253,0.82295,0.000468212,0.000468212,0.000468212
6,18.9353,0.86582,0.59998,0.75093,0.9282,0.81951,0.89723,0.60013,1.21857,0.74375,0.8377,0.000558444,0.000558444,0.000558444
7,21.4039,0.89196,0.63084,0.76703,0.94753,0.80802,0.90652,0.61602,1.1657,0.7168,0.8283,0.000646698,0.000646698,0.000646698
8,23.786,0.71638,0.88814,0.67023,0.94235,0.8385,0.89899,0.5972,1.1643,0.72522,0.8255,0.000732973,0.000732973,0.000732973
9,26.1106,0.86154,0.63724,0.7621,0.92588,0.84192,0.89429,0.58802,1.17044,0.7277,0.82435,0.00081727,0.00081727,0.00081727
10,28.4819,1.06494,0.71823,0.763,0.92588,0.84192,0.89429,0.58802,1.17044,0.7277,0.82435,0.000899589,0.000899589,0.000899589
11,30.9846,0.9365,0.6751,0.80086,0.91915,0.82608,0.87933,0.59343,1.14495,0.72358,0.81458,0.00097993,0.00097993,0.00097993
12,33.2994,0.82574,0.92047,0.67589,0.85014,0.7751,0.89555,0.60021,1.14118,0.79591,0.81414,0.00105829,0.00105829,0.00105829
13,35.7323,0.94763,0.81584,0.77798,0.85014,0.7751,0.89555,0.60021,1.14118,0.79591,0.81414,0.00110163,0.00110163,0.00110163
