fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.66905,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.66854,0.01067,0.01,0.94265,0.0005,2.80485,0.76255,7.5,0.47467,1.43587,0.01647,0.73214,0.40815,0.0,0.08736,0.52322,0.0,0.0,0.0,0.47956,0.0,1.0,0.0,0.0
0.66862,0.00894,0.00886,0.93998,0.0005,3.50478,0.8,7.50051,0.6197,1.47649,0.01594,0.7,0.4,0.0,0.09913,0.46583,0.0,0.0,0.0,0.49918,0.0,1.0,0.0,0.0
0.67126,0.01,0.00934,0.95922,0.00045,3.0,0.8,8.1583,0.51254,1.52339,0.01594,0.66117,0.40509,0.0,0.10547,0.41754,0.0,0.0,0.0,0.49454,0.0,0.91115,0.0,0.0
0.65583,0.01,0.00934,0.92447,0.00053,3.0,0.8,8.51353,0.51254,1.73782,0.01949,0.66117,0.43745,0.0,0.10903,0.28851,0.0,0.0,0.0,0.49757,0.0,0.74688,0.0,0.0
0.67667,0.01107,0.01062,0.95283,0.00059,3.50478,0.72093,8.36272,0.6197,1.27789,0.01744,0.58302,0.4,0.0,0.11994,0.47462,0.0,0.0,0.0,0.43477,0.0,1.0,0.0,0.0
0.66066,0.01192,0.00847,0.87737,0.00062,3.70706,0.75808,8.36272,0.76257,1.58929,0.0159,0.56231,0.40076,0.0,0.14151,0.39773,0.0,0.0,0.0,0.34685,0.0,0.96151,0.0,0.0
0.66936,0.0107,0.01062,0.96835,0.00053,4.33811,0.72093,9.72042,0.5341,1.36094,0.0197,0.63213,0.43585,0.0,0.11551,0.47462,0.0,0.0,0.0,0.40895,0.0,1.0,0.0,0.0
0.65825,0.01163,0.01052,0.95022,0.00064,3.50478,0.67619,8.36271,0.63721,1.17729,0.01744,0.57872,0.41216,0.0,0.12128,0.44218,0.0,0.0,0.0,0.40778,0.0,0.89176,0.0,0.0
0.66363,0.01128,0.01085,0.95283,0.00059,3.04189,0.59347,8.36272,0.62075,1.27789,0.01924,0.61048,0.38971,0.0,0.13352,0.49029,0.0,0.0,0.0,0.4471,0.0,0.96941,0.0,0.0
