epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17716,2.49716,6.58186,1.49691,0.0547,0.11443,0.04712,0.02327,2.35976,4.15512,1.44628,6.25e-05,6.25e-05,6.25e-05
2,5.95907,2.23175,5.24921,1.44571,0.34834,0.27841,0.24101,0.09513,2.30943,2.32301,1.24887,0.000136139,0.000136139,0.000136139
3,7.76083,2.00155,3.18329,1.261,0.70427,0.40139,0.44387,0.18805,1.87092,1.8694,1.11842,0.000208293,0.000208293,0.000208293
4,9.51531,1.71578,2.41639,1.22941,0.52906,0.45304,0.41151,0.21447,1.56562,1.51337,1.04207,0.000278961,0.000278961,0.000278961
5,11.2055,1.45991,2.00313,1.10648,0.67616,0.48773,0.5422,0.29545,1.45976,1.15475,1.02881,0.000348145,0.000348145,0.000348145
6,12.8379,1.51156,1.9197,1.10004,0.7387,0.54075,0.58727,0.33336,1.45523,1.14491,1.03366,0.000415844,0.000415844,0.000415844
7,14.507,1.48177,1.82558,1.08591,0.71042,0.40084,0.49838,0.2892,1.38773,1.55478,0.98792,0.000482057,0.000482057,0.000482057
8,16.1397,1.29623,1.63877,1.04028,0.7896,0.44137,0.49339,0.29072,1.3447,1.41508,0.97988,0.000546786,0.000546786,0.000546786
9,17.6557,1.30722,1.3888,1.04511,0.71581,0.61426,0.62645,0.37096,1.30779,0.92252,0.98618,0.00061003,0.00061003,0.00061003
10,19.253,1.21264,1.27001,1.04197,0.72085,0.6,0.60022,0.32463,1.38302,1.08019,0.99345,0.000671789,0.000671789,0.000671789
11,20.7635,1.36552,1.35222,1.02002,0.72085,0.6,0.60022,0.32463,1.38302,1.08019,0.99345,0.000732063,0.000732063,0.000732063
12,22.3241,1.30607,1.25034,1.04777,0.64002,0.5993,0.59435,0.32727,1.36823,0.96453,1.00534,0.000790851,0.000790851,0.000790851
13,23.9471,1.31054,1.28046,1.04863,0.78626,0.55853,0.63852,0.38877,1.28605,0.96248,0.99111,0.000848155,0.000848155,0.000848155
14,25.5415,1.33905,1.26358,1.10086,0.81858,0.61712,0.66647,0.38615,1.30568,0.90614,0.997,0.000903974,0.000903974,0.000903974
15,27.0468,1.20142,1.20375,1.05096,0.81858,0.61712,0.66647,0.38615,1.30568,0.90614,0.997,0.000958307,0.000958307,0.000958307
16,28.6928,1.28825,1.15638,1.04368,0.72188,0.59921,0.5914,0.33013,1.37871,1.30941,1.00015,0.00101116,0.00101116,0.00101116
17,30.4097,1.28794,1.36718,1.03472,0.72188,0.59921,0.5914,0.33013,1.37871,1.30941,1.00015,0.001052,0.001052,0.001052
18,32.0231,1.18263,1.09899,1.0241,0.74272,0.63087,0.66903,0.36471,1.39086,1.03325,1,0.00103962,0.00103962,0.00103962
19,33.5662,1.25527,1.04839,0.99273,0.74272,0.63087,0.66903,0.36471,1.39086,1.03325,1,0.00102725,0.00102725,0.00102725
20,35.2451,1.34301,1.06289,1.02945,0.83895,0.59267,0.649,0.39334,1.30471,0.88588,1.00803,0.00101488,0.00101488,0.00101488
21,36.7474,1.10411,0.96242,0.97669,0.83895,0.59267,0.649,0.39334,1.30471,0.88588,1.00803,0.0010025,0.0010025,0.0010025
22,38.3433,1.18553,1.01165,1.02227,0.88416,0.55507,0.64986,0.38327,1.28599,0.85611,1.01054,0.000990125,0.000990125,0.000990125
23,39.8429,1.22158,1.00715,0.99072,0.88915,0.64244,0.70447,0.42227,1.28631,0.84852,1.01926,0.00097775,0.00097775,0.00097775
24,41.3834,1.25118,0.96135,1.05993,0.88915,0.64244,0.70447,0.42227,1.28631,0.84852,1.01926,0.000965375,0.000965375,0.000965375
25,42.9294,1.17726,0.96762,1.0351,0.82348,0.69129,0.71569,0.41558,1.32644,0.8193,1.02078,0.000953,0.000953,0.000953
26,44.4019,1.15032,0.83404,0.96315,0.82348,0.69129,0.71569,0.41558,1.32644,0.8193,1.02078,0.000940625,0.000940625,0.000940625
27,45.9017,1.16994,0.83186,0.96002,0.82567,0.63543,0.70586,0.39465,1.39292,0.85401,1.04538,0.00092825,0.00092825,0.00092825
28,47.4862,1.18025,0.8227,0.96393,0.82567,0.63543,0.70586,0.39465,1.39292,0.85401,1.04538,0.000915875,0.000915875,0.000915875
29,49.1417,1.13748,0.78226,0.97921,0.77401,0.69818,0.72653,0.41451,1.29641,0.78188,1.01853,0.0009035,0.0009035,0.0009035
