epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18355,2.43509,5.74046,1.50915,0.00708,0.0483,0.00516,0.00229,2.24408,4.692,1.46749,6.25e-05,6.25e-05,6.25e-05
2,7.75897,2.11792,4.12875,1.38262,0.33391,0.42674,0.25552,0.12112,1.84699,2.19504,1.14398,0.000136139,0.000136139,0.000136139
3,10.4611,1.80435,2.45293,1.22197,0.65765,0.36738,0.33795,0.17804,1.68444,1.86487,1.17852,0.000208293,0.000208293,0.000208293
4,13.1293,1.55925,2.19376,1.22423,0.70669,0.4438,0.4858,0.24031,1.609,2.17489,1.09969,0.000278961,0.000278961,0.000278961
5,15.8873,1.4002,2.0645,1.1102,0.68175,0.54583,0.57257,0.29822,1.56126,1.34511,1.11636,0.000348145,0.000348145,0.000348145
6,18.5353,1.46128,1.71552,1.089,0.51544,0.54249,0.5354,0.32255,1.39081,1.45979,1.04668,0.000415844,0.000415844,0.000415844
7,21.2948,1.40344,1.57947,1.09873,0.75323,0.65175,0.67848,0.33779,1.63148,1.16013,1.12323,0.000482057,0.000482057,0.000482057
8,23.8846,1.3138,1.72405,1.08327,0.79393,0.59302,0.65926,0.37275,1.48689,1.10463,1.05498,0.000546786,0.000546786,0.000546786
9,26.4711,1.30135,1.30662,1.05086,0.75487,0.61971,0.65639,0.37316,1.44047,1.51276,1.06324,0.00061003,0.00061003,0.00061003
10,29.094,1.22391,1.56293,1.06355,0.6712,0.49435,0.4408,0.24869,1.44083,1.48197,1.07265,0.000671789,0.000671789,0.000671789
11,31.6428,1.4121,1.37841,1.05989,0.6712,0.49435,0.4408,0.24869,1.44083,1.48197,1.07265,0.000732063,0.000732063,0.000732063
12,34.2489,1.41928,1.36276,1.11953,0.79565,0.59072,0.65799,0.38064,1.46848,1.17651,1.14046,0.000790851,0.000790851,0.000790851
13,36.8943,1.4058,1.434,1.11063,0.64011,0.53604,0.52157,0.29725,1.42267,1.30371,1.08638,0.000848155,0.000848155,0.000848155
14,39.3776,1.40507,1.39101,1.11734,0.29928,0.48312,0.23889,0.14103,1.33884,5.2184,1.08167,0.000903974,0.000903974,0.000903974
15,41.8606,1.19031,1.32064,1.09614,0.29928,0.48312,0.23889,0.14103,1.33884,5.2184,1.08167,0.000958307,0.000958307,0.000958307
16,44.4025,1.25101,1.27636,1.04735,0.46559,0.54867,0.39512,0.22845,1.31757,1.39886,1.0697,0.00101116,0.00101116,0.00101116
17,46.881,1.23887,1.59446,1.06912,0.46559,0.54867,0.39512,0.22845,1.31757,1.39886,1.0697,0.001052,0.001052,0.001052
18,49.5772,1.23283,1.39589,1.09069,0.80253,0.67692,0.71966,0.42618,1.26674,1.13752,1.06691,0.00103962,0.00103962,0.00103962
19,52.1678,1.26237,1.17466,1.06218,0.80253,0.67692,0.71966,0.42618,1.26674,1.13752,1.06691,0.00102725,0.00102725,0.00102725
20,54.6986,1.40109,1.10397,1.08012,0.87609,0.64711,0.72246,0.43688,1.27986,0.95866,0.9986,0.00101488,0.00101488,0.00101488
21,57.3096,1.24815,0.97448,1.03639,0.87609,0.64711,0.72246,0.43688,1.27986,0.95866,0.9986,0.0010025,0.0010025,0.0010025
22,59.911,1.22504,0.93487,1.06419,0.80907,0.61033,0.71915,0.40495,1.31514,0.97024,1.00831,0.000990125,0.000990125,0.000990125
23,62.5138,1.27254,0.955,1.01816,0.63764,0.56373,0.43867,0.27006,1.27502,1.73981,1.06519,0.00097775,0.00097775,0.00097775
24,65.0003,1.27187,0.97103,1.12259,0.63764,0.56373,0.43867,0.27006,1.27502,1.73981,1.06519,0.000965375,0.000965375,0.000965375
25,67.5282,1.2528,0.96732,1.12656,0.80392,0.66388,0.70578,0.4114,1.23771,0.91083,1.05807,0.000953,0.000953,0.000953
26,69.9524,1.34198,0.97452,1.10317,0.80392,0.66388,0.70578,0.4114,1.23771,0.91083,1.05807,0.000940625,0.000940625,0.000940625
27,72.4315,1.27595,0.9396,1.05961,0.89934,0.63953,0.72063,0.42196,1.28188,1.02463,1.04598,0.00092825,0.00092825,0.00092825
28,74.8891,1.14101,0.78079,1.03603,0.89934,0.63953,0.72063,0.42196,1.28188,1.02463,1.04598,0.000915875,0.000915875,0.000915875
