epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64498,2.35989,5.10216,1.53271,0.0051,0.02532,0.00394,0.00188,2.08979,4.22178,1.35189,6.25e-05,6.25e-05,6.25e-05
2,8.77706,2.14445,4.74241,1.44785,0.02133,0.05696,0.01881,0.00946,2.01345,4.13581,1.28844,0.000136139,0.000136139,0.000136139
3,10.4885,1.88484,4.26391,1.27052,0.03556,0.10759,0.03823,0.01682,1.84811,4.12394,1.24439,0.000208293,0.000208293,0.000208293
4,12.1385,1.78933,3.96431,1.27327,0.02451,0.12658,0.05041,0.02223,1.64137,4.08563,1.16468,0.000278961,0.000278961,0.000278961
5,13.8021,1.71564,3.51818,1.21539,0.02821,0.20886,0.11867,0.04441,1.63025,3.99251,1.12273,0.000348145,0.000348145,0.000348145
6,15.4869,1.78476,3.18033,1.16826,0.03191,0.24684,0.13397,0.0594,1.62734,3.93032,1.07416,0.000415844,0.000415844,0.000415844
7,17.2749,1.65866,2.97077,1.14396,0.03665,0.24684,0.14108,0.05731,1.55124,3.89539,1.06946,0.000482057,0.000482057,0.000482057
8,18.9893,1.47569,2.80574,1.10947,0.03641,0.25949,0.12817,0.05523,1.60738,3.82698,1.06318,0.000546786,0.000546786,0.000546786
9,20.6606,1.559,2.53774,1.0947,0.03925,0.29114,0.11572,0.05484,1.52416,3.76716,1.0549,0.00061003,0.00061003,0.00061003
10,22.261,1.44783,2.36901,1.11477,0.03626,0.27215,0.14552,0.06957,1.44432,3.71472,1.03472,0.000671789,0.000671789,0.000671789
11,23.8409,1.5799,2.43617,1.08126,0.03626,0.27215,0.14552,0.06957,1.44432,3.71472,1.03472,0.000732063,0.000732063,0.000732063
12,25.4601,1.49593,2.26601,1.10122,0.03945,0.32911,0.18292,0.08456,1.54318,3.58264,1.03886,0.000790851,0.000790851,0.000790851
