epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27182,2.33475,9.63113,1.73338,0.03013,0.10294,0.02607,0.00956,2.2073,4.57501,1.49864,8.75e-05,8.75e-05,8.75e-05
2,9.8644,2.07543,5.10939,1.51737,0.51838,0.33064,0.38442,0.18646,1.95722,2.49949,1.24375,0.000185644,0.000185644,0.000185644
3,12.9038,1.81246,3.35727,1.41596,0.59319,0.40485,0.42709,0.22004,1.64528,2.15655,1.15533,0.000281807,0.000281807,0.000281807
4,15.7632,1.52051,2.93323,1.16008,0.6104,0.52625,0.55554,0.32096,1.4458,1.88031,1.08525,0.000375991,0.000375991,0.000375991
5,18.6119,1.37782,2.15653,1.12034,0.71853,0.62782,0.65187,0.38279,1.34434,1.6603,1.07569,0.000468195,0.000468195,0.000468195
6,21.223,1.36138,1.99005,1.08329,0.78142,0.58739,0.68136,0.39878,1.31027,1.31022,1.00885,0.000558419,0.000558419,0.000558419
7,23.8092,1.32586,1.85138,1.08483,0.78544,0.6412,0.73539,0.42647,1.31925,1.37869,1.02843,0.000646662,0.000646662,0.000646662
8,26.3448,1.22149,6.38371,1.01184,0.86979,0.61305,0.75666,0.4696,1.20061,1.32221,0.99513,0.000732926,0.000732926,0.000732926
9,28.9365,1.18586,1.53329,1.09879,0.80718,0.72138,0.79295,0.47464,1.24572,1.23601,1.01117,0.00081721,0.00081721,0.00081721
10,31.4896,1.55495,1.86427,1.11777,0.80718,0.72138,0.79295,0.47464,1.24572,1.23601,1.01117,0.000899514,0.000899514,0.000899514
11,34.1024,1.31754,1.48441,1.11566,0.86144,0.65212,0.78433,0.46585,1.29793,1.21214,1.0552,0.000979838,0.000979838,0.000979838
12,36.5679,1.13106,4.27997,0.991,0.63597,0.64909,0.67973,0.41269,1.28301,1.01897,1.0396,0.00105818,0.00105818,0.00105818
13,39.0139,1.47735,1.50245,1.14324,0.63597,0.64909,0.67973,0.41269,1.28301,1.01897,1.0396,0.0011015,0.0011015,0.0011015
14,41.5593,1.23693,1.36487,1.08939,0.56917,0.66543,0.60152,0.37941,1.23562,1.07389,1.02384,0.00108913,0.00108913,0.00108913
15,44.032,1.29482,1.32079,1.11828,0.77377,0.68076,0.73598,0.39844,1.36518,1.25788,1.07589,0.00107675,0.00107675,0.00107675
16,46.4961,1.31974,2.06636,1.06839,0.77377,0.68076,0.73598,0.39844,1.36518,1.25788,1.07589,0.00106437,0.00106437,0.00106437
17,48.9118,1.43982,1.57205,1.10528,0.68797,0.76741,0.75856,0.37998,1.51979,1.06902,1.12557,0.001052,0.001052,0.001052
18,51.2959,1.20413,3.10744,0.93329,0.68797,0.76741,0.75856,0.37998,1.51979,1.06902,1.12557,0.00103962,0.00103962,0.00103962
19,53.7075,1.32446,1.67982,1.12056,0.75873,0.62971,0.73954,0.43152,1.27386,1.17632,1.0242,0.00102725,0.00102725,0.00102725
20,56.0894,1.29632,1.59374,1.066,0.79137,0.67285,0.72852,0.38662,1.37475,1.13255,1.04837,0.00101488,0.00101488,0.00101488
21,58.5589,1.2856,1.14196,1.04606,0.79137,0.67285,0.72852,0.38662,1.37475,1.13255,1.04837,0.0010025,0.0010025,0.0010025
22,61.1144,1.2727,1.07903,1.0498,0.78809,0.66827,0.71752,0.40518,1.27645,0.9669,1.05399,0.000990125,0.000990125,0.000990125
23,63.6225,1.22041,1.44553,1.08103,0.84812,0.71489,0.79663,0.49275,1.24093,0.83962,1.06493,0.00097775,0.00097775,0.00097775
24,66.1055,1.23335,1.0997,1.0381,0.84812,0.71489,0.79663,0.49275,1.24093,0.83962,1.06493,0.000965375,0.000965375,0.000965375
25,68.5831,1.13716,1.02178,1.0429,0.86317,0.7488,0.81926,0.48713,1.24796,0.84269,1.05718,0.000953,0.000953,0.000953
26,71.0414,1.17709,1.05079,1.07859,0.86317,0.7488,0.81926,0.48713,1.24796,0.84269,1.05718,0.000940625,0.000940625,0.000940625
27,73.4786,1.14058,0.97907,1.06309,0.90789,0.73323,0.81948,0.49445,1.22015,0.86446,1.06233,0.00092825,0.00092825,0.00092825
28,76.1682,1.21693,1.04044,1.00718,0.91413,0.76796,0.85905,0.50127,1.2133,0.79828,1.04852,0.000915875,0.000915875,0.000915875
29,78.6525,1.09788,0.84043,1.01394,0.91413,0.76796,0.85905,0.50127,1.2133,0.79828,1.04852,0.0009035,0.0009035,0.0009035
30,81.1077,1.13472,0.8921,1.00266,0.87932,0.77375,0.84883,0.52304,1.16925,0.73553,1.01358,0.000891125,0.000891125,0.000891125
31,83.4949,1.07921,0.83329,0.96805,0.87932,0.77375,0.84883,0.52304,1.16925,0.73553,1.01358,0.00087875,0.00087875,0.00087875
32,86.0451,1.02275,0.73179,0.98888,0.86993,0.78102,0.84162,0.5227,1.13951,0.732,1.00427,0.000866375,0.000866375,0.000866375
33,88.6304,1.06623,0.77638,0.98215,0.88824,0.77555,0.85032,0.52884,1.12021,0.73514,0.99257,0.000854,0.000854,0.000854
34,91.2278,0.99097,0.87035,0.98459,0.88824,0.77555,0.85032,0.52884,1.12021,0.73514,0.99257,0.000841625,0.000841625,0.000841625
35,93.8035,1.05547,0.74432,0.99336,0.76121,0.63686,0.72014,0.45378,1.14728,1.09715,1.02881,0.00082925,0.00082925,0.00082925
36,96.309,1.02013,0.71987,0.96695,0.90079,0.8126,0.85937,0.5414,1.128,0.66381,1.0206,0.000816875,0.000816875,0.000816875
37,98.7702,0.95709,0.67817,0.93796,0.90079,0.8126,0.85937,0.5414,1.128,0.66381,1.0206,0.0008045,0.0008045,0.0008045
38,101.327,1.04624,0.72077,0.97989,0.93781,0.79718,0.87331,0.54431,1.12401,0.65836,1.02181,0.000792125,0.000792125,0.000792125
39,103.83,1.06044,0.7136,0.98656,0.93781,0.79718,0.87331,0.54431,1.12401,0.65836,1.02181,0.00077975,0.00077975,0.00077975
40,106.399,0.98626,0.64834,0.96969,0.91385,0.80796,0.86456,0.54855,1.11392,0.64737,1.00388,0.000767375,0.000767375,0.000767375
41,108.843,1.03464,0.68696,0.97237,0.91351,0.77521,0.85643,0.53845,1.13299,0.65509,1.00074,0.000755,0.000755,0.000755
42,111.256,0.99226,0.64394,0.93563,0.91351,0.77521,0.85643,0.53845,1.13299,0.65509,1.00074,0.000742625,0.000742625,0.000742625
43,113.736,0.95334,0.61402,0.95267,0.89196,0.80075,0.86899,0.54958,1.14952,0.66148,1.0139,0.00073025,0.00073025,0.00073025
44,116.26,0.93601,0.62212,0.94776,0.89196,0.80075,0.86899,0.54958,1.14952,0.66148,1.0139,0.000717875,0.000717875,0.000717875
45,118.832,0.91962,0.60059,0.96547,0.94218,0.75971,0.8673,0.55986,1.11325,0.64823,1.01149,0.0007055,0.0007055,0.0007055
46,121.369,0.96626,0.62008,0.94127,0.88483,0.81445,0.86927,0.56081,1.1014,0.63091,1.00065,0.000693125,0.000693125,0.000693125
47,123.776,0.9404,0.58422,0.96284,0.88483,0.81445,0.86927,0.56081,1.1014,0.63091,1.00065,0.00068075,0.00068075,0.00068075
48,126.283,0.96983,0.61014,0.9377,0.8917,0.82606,0.87528,0.57606,1.09394,0.61946,0.98815,0.000668375,0.000668375,0.000668375
49,128.793,0.94442,0.59614,0.93521,0.90087,0.82826,0.87704,0.56589,1.08225,0.61205,0.97275,0.000656,0.000656,0.000656
50,131.273,0.90501,0.6416,0.97544,0.90087,0.82826,0.87704,0.56589,1.08225,0.61205,0.97275,0.000643625,0.000643625,0.000643625
51,133.765,0.90303,0.55785,0.93143,0.94637,0.81869,0.88286,0.56184,1.0978,0.61189,0.97143,0.00063125,0.00063125,0.00063125
52,136.23,0.93035,0.59873,0.93184,0.94637,0.81869,0.88286,0.56184,1.0978,0.61189,0.97143,0.000618875,0.000618875,0.000618875
53,138.722,0.81743,0.90617,0.81229,0.91618,0.81695,0.87801,0.56919,1.06312,0.60752,0.96691,0.0006065,0.0006065,0.0006065
54,141.128,0.78064,0.79297,0.84366,0.91887,0.808,0.88017,0.57769,1.05201,0.59912,0.96824,0.000594125,0.000594125,0.000594125
